state,county,region,RUCC,less_than_high_school,high_school_diploma,college/associate_degree,bachelors/higher,unemployment,poverty_log
AZ,Gila County,West,4,15.73,28.677,37.856,17.737,7.2,2.995732273553991
AZ,Graham County,West,7,14.581,32.932,39.163,13.324,6.7,3.1354942159291497
AZ,Greenlee County,West,7,12.145,36.798,38.86,12.197,7.6,2.4849066497880004
AZ,La Paz County,West,6,24.842,36.443,28.278,10.437,6.0,3.2188758248682006
AZ,Maricopa County,West,1,13.052,22.943,33.037,30.969,4.6,2.70805020110221
AZ,Mohave County,West,3,16.146,35.989,35.987,11.879,6.6,2.8903717578961645
AZ,Navajo County,West,4,18.494,30.345,36.669,14.492,8.2,3.332204510175204
AZ,Pima County,West,2,12.252,22.594,34.353,30.801,5.0,2.8903717578961645
AZ,Pinal County,West,1,15.083,29.202,37.243,18.471,5.5,2.70805020110221
AZ,Santa Cruz County,West,4,25.207,26.162,26.138,22.493,10.0,3.044522437723423
AZ,Yavapai County,West,3,9.831,25.798,38.83,25.542,4.9,2.5649493574615367
AZ,Yuma County,West,3,28.28,25.564,31.77,14.387,18.8,2.9444389791664403
AR,Arkansas County,South,6,17.481,40.588,27.501,14.429,3.4,2.8903717578961645
AR,Ashley County,South,7,16.105,39.736,30.571,13.587,6.2,2.8903717578961645
AR,Baxter County,South,7,12.782,34.353,35.126,17.738,4.3,2.5649493574615367
AR,Benton County,South,2,12.766,30.489,26.021,30.723,2.9,2.1972245773362196
AR,Boone County,South,7,15.021,34.562,35.449,14.968,3.7,2.70805020110221
AR,Bradley County,South,7,20.127,41.453,24.189,14.231,5.2,3.1780538303479458
AR,Calhoun County,South,9,16.766,49.622,21.598,12.014,4.6,2.833213344056216
AR,Carroll County,South,6,16.187,34.932,31.189,17.692,3.5,2.833213344056216
AR,Chicot County,South,7,19.928,42.029,24.909,13.134,6.5,3.4011973816621555
AR,Clark County,South,7,13.469,30.865,30.949,24.717,4.4,3.091042453358316
AR,Clay County,South,7,20.884,42.416,25.351,11.349,5.6,2.9444389791664403
AR,Cleburne County,South,6,16.683,38.191,29.743,15.382,5.9,2.772588722239781
AR,Cleveland County,South,3,13.872,43.906,26.476,15.747,4.5,2.772588722239781
AR,Columbia County,South,7,14.834,39.235,24.016,21.915,5.7,3.1780538303479458
AR,Conway County,South,6,15.032,42.298,25.751,16.919,5.7,2.9444389791664403
AR,Craighead County,South,3,12.049,34.232,28.327,25.392,3.2,2.772588722239781
AR,Crawford County,South,2,14.721,39.973,31.757,13.55,3.9,2.833213344056216
AR,Crittenden County,South,1,18.228,35.578,28.803,17.391,4.5,3.258096538021482
AR,Cross County,South,6,19.349,43.996,21.907,14.748,4.4,2.9444389791664403
AR,Dallas County,South,6,16.559,48.898,21.856,12.688,5.0,3.044522437723423
AR,Desha County,South,6,23.87,39.688,23.258,13.184,5.4,3.295836866004329
AR,Drew County,South,6,18.35,36.916,24.89,19.844,5.8,2.9444389791664403
AR,Faulkner County,South,2,8.927,30.651,31.308,29.114,3.8,2.772588722239781
AR,Franklin County,South,6,18.852,40.827,27.307,13.014,4.0,2.8903717578961645
AR,Fulton County,South,9,16.085,40.678,32.203,11.034,4.3,3.1354942159291497
AR,Garland County,South,3,11.641,31.331,36.405,20.623,4.3,2.8903717578961645
AR,Grant County,South,2,9.979,41.605,28.58,19.837,3.6,2.4849066497880004
AR,Greene County,South,4,14.747,42.98,25.83,16.443,4.3,2.70805020110221
AR,Hempstead County,South,6,21.34,37.983,28.061,12.616,3.8,3.044522437723423
AR,Hot Spring County,South,6,14.126,41.619,30.773,13.483,3.9,2.70805020110221
AR,Howard County,South,6,20.6,33.797,29.858,15.745,3.3,2.9444389791664403
AR,Independence County,South,7,15.512,37.537,29.332,17.619,4.9,2.772588722239781
AR,Izard County,South,9,16.06,40.728,30.833,12.379,5.6,2.995732273553991
AR,Jackson County,South,6,23.39,42.067,25.898,8.646,6.2,3.1780538303479458
AR,Jefferson County,South,3,15.724,38.442,28.845,16.989,5.6,3.1354942159291497
AR,Johnson County,South,7,20.991,43.097,19.971,15.941,4.7,2.8903717578961645
AR,Lafayette County,South,8,19.767,42.747,23.808,13.678,5.9,3.295836866004329
AR,Lawrence County,South,6,18.264,41.152,27.173,13.411,4.3,2.995732273553991
AR,Lee County,South,7,30.725,38.55,22.568,8.157,4.7,3.58351893845611
AR,Lincoln County,South,3,20.947,50.243,21.007,7.803,4.8,3.332204510175204
AR,Little River County,South,3,14.001,40.578,35.702,9.719,4.6,2.8903717578961645
AR,Logan County,South,6,17.208,43.913,25.867,13.012,4.6,2.8903717578961645
AR,Lonoke County,South,2,11.913,33.866,34.716,19.506,3.3,2.4849066497880004
AR,Madison County,South,2,19.64,47.116,21.913,11.331,3.2,2.8903717578961645
AR,Marion County,South,9,14.013,39.431,31.241,15.316,4.0,3.044522437723423
AR,Miller County,South,3,14.47,39.221,31.812,14.497,4.2,3.091042453358316
AR,Mississippi County,South,4,19.594,36.826,30.943,12.637,6.7,3.2188758248682006
AR,Monroe County,South,7,21.822,41.7,27.425,9.053,4.8,3.295836866004329
AR,Montgomery County,South,8,20.219,35.428,31.841,12.511,5.2,3.091042453358316
AR,Nevada County,South,7,16.869,45.022,23.051,15.057,3.7,2.995732273553991
AR,Newton County,South,9,19.583,40.675,24.911,14.831,3.9,2.995732273553991
AR,Ouachita County,South,7,13.828,42.614,26.941,16.616,5.0,3.2188758248682006
AR,Perry County,South,2,17.766,43.034,28.573,10.626,4.7,2.833213344056216
AR,Phillips County,South,6,23.614,31.443,33.278,11.665,5.8,3.4657359027997265
AR,Pike County,South,9,18.552,35.569,31.032,14.847,4.3,2.8903717578961645
AR,Poinsett County,South,3,21.284,42.458,26.682,9.576,4.3,3.1354942159291497
AR,Polk County,South,7,15.737,36.938,35.057,12.268,4.9,3.1354942159291497
AR,Pope County,South,5,16.537,33.776,28.353,21.334,4.6,2.8903717578961645
AR,Prairie County,South,8,17.625,43.388,25.963,13.023,3.8,2.8903717578961645
AR,Pulaski County,South,2,9.913,27.104,30.05,32.933,3.5,2.833213344056216
AR,Randolph County,South,7,16.716,38.343,31.264,13.677,4.6,2.9444389791664403
AR,St. Francis County,South,6,22.032,38.733,28.839,10.396,5.2,3.4657359027997265
AR,Saline County,South,2,10.735,33.447,31.287,24.53,3.1,2.1972245773362196
AR,Scott County,South,6,23.586,38.466,27.366,10.582,3.7,2.995732273553991
AR,Searcy County,South,9,15.432,42.071,28.053,14.444,4.5,3.1354942159291497
AR,Sebastian County,South,2,17.522,31.905,31.783,18.789,3.7,2.833213344056216
AR,Sevier County,South,6,30.391,34.555,25.672,9.381,4.9,3.044522437723423
AR,Sharp County,South,7,16.77,43.157,29.984,10.09,5.4,3.044522437723423
