state,county,region,RUCC,less_than_high_school,high_school_diploma,college/associate_degree,unemployment,poverty_log,less_than_high_school_log,high_school_diploma_log,college/associate_degree_log,unemployment_log,RUCC_reduced,region_reduced
IL,Washington County,Midwest,6,9.291,32.592,37.243,3.7,2.19722457733622,2.2290461896591753,3.48406685948445,3.617464007703407,1.308332819650179,4-9,Northeast_Midwest
IL,Wayne County,Midwest,7,12.793,35.068000000000005,38.162,8.4,2.6390573296152584,2.548898146334898,3.5572890337263394,3.64184025610815,2.128231705849268,4-9,Northeast_Midwest
IL,White County,Midwest,6,12.322000000000001,36.256,37.696999999999996,6.5,2.772588722239781,2.511386282592379,3.590604884845596,3.6295805156908423,1.8718021769015913,4-9,Northeast_Midwest
IL,Whiteside County,Midwest,4,11.29,36.154,35.288000000000004,5.7,2.4849066497880004,2.4239173781615704,3.5877875925526626,3.5635429628026385,1.7404661748405046,4-9,Northeast_Midwest
IL,Will County,Midwest,1,9.177,26.858,30.51,6.0,1.9459101490553128,2.216700353836876,3.2905637281589835,3.418054498728578,1.791759469228055,1,Northeast_Midwest
IL,Williamson County,Midwest,3,9.77,30.54,37.614000000000004,6.1,2.772588722239781,2.2793164660546914,3.4190372997904865,3.6273763215198866,1.8082887711792655,2-3,Northeast_Midwest
IL,Winnebago County,Midwest,2,12.585,32.311,32.695,6.6,2.772588722239781,2.532505628587279,3.4754077295276864,3.4872221610132392,1.8870696490323797,2-3,Northeast_Midwest
IL,Woodford County,Midwest,2,6.035,32.753,30.77,5.4,1.9459101490553128,1.7975758545494949,3.4889945609393926,3.4265401893339504,1.6863989535702288,2-3,Northeast_Midwest
IN,Adams County,Midwest,6,15.758,41.615,27.017,3.6,2.7080502011022096,2.7573481728234963,3.7284606791980583,3.2964662975003862,1.2809338454620642,4-9,Northeast_Midwest
IN,Allen County,Midwest,2,10.798,29.12,32.711999999999996,4.3,2.7080502011022096,2.379360931796095,3.3714252233284854,3.487741983062341,1.4586150226995167,2-3,Northeast_Midwest
IN,Bartholomew County,Midwest,3,9.724,34.891999999999996,25.708000000000002,3.4,2.4849066497880004,2.274597056453877,3.552257576570972,3.24680222750904,1.2237754316221157,2-3,Northeast_Midwest
IN,Benton County,Midwest,3,10.34,45.07899999999999,27.521,4.2,2.4849066497880004,2.336019869080283,3.808416506139376,3.314949349614265,1.4350845252893227,2-3,Northeast_Midwest
IN,Blackford County,Midwest,6,13.023,48.218,27.793000000000003,5.3,2.5649493574615367,2.566717024985566,3.875732395327108,3.32478419042886,1.667706820558076,4-9,Northeast_Midwest
IN,Boone County,Midwest,1,6.837000000000001,25.384,23.265,3.4,1.9459101490553128,1.922349038931657,3.2341190542808946,3.146950085296612,1.2237754316221157,1,Northeast_Midwest
IN,Brown County,Midwest,1,10.44,36.1,29.986,4.0,2.3978952727983707,2.3456445824544927,3.586292865338835,3.4007306060727114,1.3862943611198906,1,Northeast_Midwest
IN,Carroll County,Midwest,3,12.044,40.785,29.745,4.2,2.302585092994046,2.4885666106194875,3.7083143667525436,3.392661050639869,1.4350845252893227,2-3,Northeast_Midwest
IN,Cass County,Midwest,4,17.180999999999997,39.5,29.369,4.6,2.5649493574615367,2.84380412207983,3.676300671907076,3.3799396962822152,1.5260563034950492,4-9,Northeast_Midwest
IN,Clark County,Midwest,1,12.106,34.095,33.601,4.2,2.3978952727983707,2.4937011974694956,3.529150745972616,3.514555828431044,1.4350845252893227,1,Northeast_Midwest
IN,Clay County,Midwest,3,10.264000000000001,44.766999999999996,28.041,4.7,2.6390573296152584,2.3286426273133354,3.801471260849742,3.333667724868556,1.547562508716013,2-3,Northeast_Midwest
IN,Clinton County,Midwest,6,13.905,45.28,25.925,3.9,2.6390573296152584,2.6322484876859282,3.8128654338949275,3.2552077541155913,1.3609765531356006,4-9,Northeast_Midwest
IN,Crawford County,Midwest,8,17.307000000000002,47.66,25.239,5.6,2.8332133440562166,2.851111043942862,3.8640924716705958,3.228390417236786,1.7227665977411035,4-9,Northeast_Midwest
IN,Daviess County,Midwest,7,25.283,36.321,24.391,3.5,2.6390573296152584,3.2301322331239,3.592396086393713,3.194214211797339,1.252762968495368,4-9,Northeast_Midwest
IN,Dearborn County,Midwest,1,9.366,40.161,30.509,4.7,2.079441541679836,2.23708611076135,3.69289637547187,3.4180217220524582,1.547562508716013,1,Northeast_Midwest
IN,Decatur County,Midwest,6,10.932,43.542,27.346999999999998,3.6,2.4849066497880004,2.3916942680658217,3.773725989524055,3.3086068336377945,1.2809338454620642,4-9,Northeast_Midwest
IN,DeKalb County,Midwest,4,10.270999999999999,41.894,30.465999999999998,3.9,2.19722457733622,2.3293243901836673,3.7351426185835743,3.416611307714509,1.3609765531356006,4-9,Northeast_Midwest
IN,Delaware County,Midwest,3,10.477,35.633,30.604,5.1,3.0910424533583165,2.349182378370828,3.5732721747821854,3.4211307193696054,1.62924053973028,2-3,Northeast_Midwest
IN,Dubois County,Midwest,5,12.023,40.33,27.918000000000003,3.1,1.9459101490553128,2.486821481992772,3.697095608885277,3.3292716420905664,1.1314021114911006,4-9,Northeast_Midwest
IN,Elkhart County,Midwest,3,19.491,36.714,25.525,3.5,2.5649493574615367,2.969952820566504,3.6031581537084585,3.239658364050729,1.252762968495368,2-3,Northeast_Midwest
IN,Fayette County,Midwest,6,18.753,43.091,27.478,5.7,2.8903717578961645,2.931353739617785,3.763314158599122,3.3133856845017564,1.7404661748405046,4-9,Northeast_Midwest
IN,Floyd County,Midwest,1,10.637,31.814,30.622,4.1,2.302585092994046,2.364338489269528,3.459906444476169,3.4217187048829034,1.410986973710262,1,Northeast_Midwest
IN,Fountain County,Midwest,6,12.032,44.178000000000004,29.328000000000003,5.8,2.5649493574615367,2.487569767207484,3.7882269276146348,3.3785426910973495,1.7578579175523736,4-9,Northeast_Midwest
IN,Franklin County,Midwest,6,12.599,42.089,26.165,4.3,2.3978952727983707,2.533617445728493,3.739786423887742,3.264422639824171,1.4586150226995167,4-9,Northeast_Midwest
IN,Fulton County,Midwest,7,15.14,40.981,30.159000000000002,4.7,2.5649493574615367,2.717340248009303,3.713108544660415,3.406483386091393,1.547562508716013,4-9,Northeast_Midwest
IN,Gibson County,Midwest,6,9.853,39.654,34.861,3.6,2.3978952727983707,2.2877759773403374,3.680191825716371,3.551368725853699,1.2809338454620642,4-9,Northeast_Midwest
IN,Grant County,Midwest,4,13.495,41.023,28.756999999999998,4.9,2.9957322735539913,2.602319246469968,3.714132885026067,3.3588812158682075,1.589235205116581,4-9,Northeast_Midwest
IN,Greene County,Midwest,6,14.395999999999999,40.271,30.987,6.5,2.772588722239781,2.666950390216784,3.6956316069364696,3.433567761692606,1.8718021769015913,4-9,Northeast_Midwest
IN,Hamilton County,Midwest,1,4.03,15.96299999999999,23.944000000000003,3.2,1.6094379124341005,1.3937663759585917,2.7702735442823414,3.175717770550398,1.1631508098056809,1,Northeast_Midwest
IN,Hancock County,Midwest,1,5.848,33.161,32.01,3.8,1.9459101490553128,1.7660997224474773,3.501374486627827,3.4660483539817717,1.33500106673234,1,Northeast_Midwest
IN,Harrison County,Midwest,1,11.334000000000001,41.916000000000004,29.846999999999998,4.2,2.302585092994046,2.4278070577474278,3.7356676156126953,3.3960843322753322,1.4350845252893227,1,Northeast_Midwest
IN,Hendricks County,Midwest,1,6.502000000000001,28.535,30.272,3.5,1.791759469228055,1.8721098218817136,3.3511314039886715,3.4102231928694677,1.252762968495368,1,Northeast_Midwest
IN,Henry County,Midwest,4,12.151,43.449,28.666999999999998,4.6,2.772588722239781,2.4974114709264748,3.771587836486829,3.355746635424771,1.5260563034950492,4-9,Northeast_Midwest
IN,Howard County,Midwest,3,11.509,36.48,32.463,4.7,2.7080502011022096,2.443129337986354,3.5967641652061304,3.4801009792576214,1.547562508716013,2-3,Northeast_Midwest
IN,Huntington County,Midwest,6,9.853,43.423,27.858,4.0,2.3978952727983707,2.2877759773403374,3.770989254647426,3.3271201782658397,1.3862943611198906,4-9,Northeast_Midwest
IN,Jackson County,Midwest,4,12.949000000000002,45.912,24.97,3.7,2.5649493574615367,2.561018565086703,3.8267265208060612,3.217675104291682,1.308332819650179,4-9,Northeast_Midwest
